  -1.2218288154266235e+01	   4.3078507659170663e+02	
  -1.1668355408294666e+01	   4.2329047513573170e+02	
  -1.0824949406836573e+01	   4.1479670199857031e+02	
  -9.9818363903257250e+00	   4.0650639063032628e+02	
  -9.4998761521140889e+00	   3.9941452721293996e+02	
  -8.7460258828626998e+00	   3.9071171164119932e+02	
  -8.3326241223054893e+00	   3.8442950980023653e+02	
  -7.4895111057946391e+00	   3.7613919843199250e+02	
  -6.7126126873602860e+00	   3.6703085448883240e+02	
  -6.0734171941292541e+00	   3.5994875723635408e+02	
  -5.5704597013653405e+00	   3.5387559782997039e+02	
  -5.1322518819417073e+00	   3.4596709700408337e+02	
  -4.3941251381922584e+00	   3.3258326558082626e+02	
  -3.6787535586785332e+00	   3.1940150076007097e+02	
  -2.8061467241454032e+00	   3.0622950210422380e+02	
  -1.9749484288223655e+00	   2.9061317188853644e+02	
  -1.1936552361793851e+00	   2.7845290141161473e+02	
  -4.3423825293041673e-01	   2.6588431223044279e+02	
   4.4129843107512556e-01	   2.5067769588542120e+02	
   1.6026907619388986e+00	   2.3976191385106645e+02	
   2.6798010896463182e+00	   2.2497477754161864e+02	
   5.1527893676595085e+00	   2.0803606209183587e+02	
   6.8999562697073671e+00	   1.9593578377077785e+02	
   8.5111781562353457e+00	   1.8464098152689689e+02	
   1.0300339567387759e+01	   1.7457811122784415e+02	
   1.3405491699898185e+01	   1.5544038097960168e+02	
   1.5532464755219607e+01	   1.4478805287002803e+02	
   1.7546833929151362e+01	   1.3433221069729476e+02	
   2.0752870545161812e+01	   1.2313646526890965e+02	
   2.3869351428965558e+01	   1.1173167740594535e+02	
   2.6732302671756671e+01	   1.0478770162859499e+02	
   3.0928433086143919e+01	   9.2432572908984326e+01	
   3.4627172721764857e+01	   8.2284829986325974e+01	
   3.7081116978207369e+01	   7.8571129516176853e+01	
   3.9563383112883187e+01	   7.0789588834094403e+01	
   4.2379652087413866e+01	   6.5063593337417814e+01	
   4.4297140905457894e+01	   5.9485252953041361e+01	
   4.5808259601678500e+01	   5.5306031955609164e+01	
